,Date,Tries,Word,Time,Got it,Day
0,9/14/22,5.0,Thyme,8:58 AM,Yes,Wednesday
1,9/15/22,4.0,Doubt,9:09 AM,Yes,Thursday
2,9/16/22,6.0,Parer,1:11 PM,Yes,Friday
3,9/18/22,5.0,Stick,11:33 AM,Yes,Sunday
4,9/19/22,6.0,Trice,7:59 AM,No,Monday
5,9/20/22,6.0,Alike,2:33 PM,Yes,Tuesday
6,9/21/22,5.0,Recap,7:48 AM,Yes,Wednesday
7,9/22/22,3.0,Saint,9:00 AM,Yes,Thursday
8,9/23/22,4.0,Glory,9:58 AM,Yes,Friday
9,9/25/22,5.0,Admit,11:06 PM,Yes,Sunday
10,9/26/22,5.0,Brisk,9:57 AM,Yes,Monday
11,9/27/22,4.0,Soggy,2:40 PM,Yes,Tuesday
12,9/28/22,4.0,Usurp, 9:06 AM,Yes,Wednesday
13,9/29/22,5.0,Scald,11:47 AM,Yes,Thursday
14,9/30/22,5.0,Scorn,9:47 AM,Yes,Friday
15,10/1/22,4.0,Leave,10:14,Yes,Saturday
16,10/2/22,4.0,Twine,7:10 PM,Yes,Sunday
17,10/3/22,5.0,Sting,11:12 AM,Yes,Monday
18,10/4/22,6.0,Bough,2:01 PM,No,Tuesday
19,10/5/22,4.0,Marsh,11:54 AM,Yes,Wednesday
20,10/6/22,4.0,Sloth,11:06 AM,Yes,Thursday
21,10/7/22,5.0,Dandy,9:56 AM,Yes,Friday
22,10/10/22,5.0,Enjoy,9:59 AM,Yes,Monday
23,10/11/22,6.0,Valid,10:38 AM,No,Tuesday
24,10/12/22,4.0,Ionic,9:24 AM,Yes,Wednesday
25,10/14/22,5.0,Floor,11:33 AM,Yes,Friday
26,10/17/22,6.0,Stein,9:55 AM,Yes,Monday
27,10/18/22,5.0,Exist,11:05 AM,Yes,Tuesday
28,10/19/22,6.0,Quirk,9:09 AM,No,Wednesday
29,10/20/22,6.0,Denim,10:05 AM,No,Thursday
30,10/21/22,6.0,Grove,9:05 AM,Yes,Friday
31,10/22/22,5.0,Spiel,9:14 AM,Yes,Saturday
32,10/23/22,6.0,Mummy,8:46 PM,Yes,Sunday
33,10/24/22,5.0,Fault,3:42 PM,Yes,Monday
34,10/25/22,6.0,Foggy,10:24 AM,No,Tuesday
35,10/26/22,6.0,Flout,9:01 AM,No,Wednesday
36,10/28/22,6.0,Sneak,9:16 AM,Yes,Friday
37,10/29/22,6.0,Libel,8:40 PM,Yes,Saturday
38,10/30/22,5.0,Waltz,7:35 PM,Yes,Sunday
39,10/31/22,3.0,Aptly,8:53 AM,Yes,Monday
40,11/1/22,5.0,Piney,12:02 PM,Yes,Tuesday
41,11/2/22,6.0,Inept,9:04 AM,Yes,Wednesday
42,11/3/22,5.0,Aloud,12:16 PM,Yes,Thursday
43,11/4/22,4.0,Photo,8:57 AM,Yes,Friday
44,11/5/22,5.0,Dream,1:47 PM,Yes,Saturday
45,11/6/22,3.0,Stale,10:00 AM,Yes,Sunday
46,11/7/22,6.0,Begin,9:53 AM,Yes,Monday
47,11/8/22,5.0,Spell,3:46 PM,Yes,Tuesday
48,11/9/22,4.0,Rainy,9:04 AM,Yes,Wednesday
49,11/10/22,4.0,Unite,11:24 AM,Yes,Thursday
50,11/11/22,4.0,Medal,9:13 AM,Yes,Friday
51,11/12/22,3.0,Valet,4:27 PM,Yes,Saturday
52,11/13/22,6.0,Inane,4:14 PM,Yes,Sunday
53,11/14/22,5.0,Maple,9:03 AM,Yes,Monday
54,11/15/22,4.0,Snarl,11:14 PM,Yes,Tuesday
55,11/16/22,6.0,Baker,7:47 AM,No,Wednesday
56,11/17/22,2.0,There,11:19 AM,Yes,Thursday
57,11/18/22,6.0,Glyph,9:17 AM,No,Friday
58,11/19/22,2.0,Avert,9:07 AM,Yes,Saturday
59,11/21/22,6.0,Axiom,8:41 AM,Yes,Monday
60,11/22/22,5.0,Prime,1:49 PM,Yes,Tuesday
61,11/23/22,4.0,Drive,5:32 AM,Yes,Wednesday
62,11/26/22,4.0,Clean,2:26 PM,Yes,Saturday
63,11/27/22,2.0,Happy,11:49 AM,Yes,Sunday
64,11/28/22,4.0,Tepid,9:01 AM,Yes,Monday
65,11/29/22,5.0,Undue,10:05 PM,Yes,Tuesday
66,11/30/22,6.0,Study,9:07 AM,No,Wednesday
67,12/1/22,6.0,Exert,9:24 AM,No,Thursday
68,12/2/22,4.0,Chafe,9:51 AM,Yes,Friday
69,12/3/22,4.0,Torso,12:22 AM,Yes,Saturday
